raw,replaced
Ted Cruz to introduce legislation preventing Chinese 'propaganda' from exploiting FCC regulations .,Cruz to introduce legislation preventing Chinese 'propaganda' from exploiting FCC regulations .
2020-04-25 22:32:55 +00:00 .,2020-04-25 22:32:55 +00:00 .
Foreign Relations Committee member Sen. Ted Cruz on issues surrounding China 's actions before and after the COVID-19 outbreak .,Foreign Relations Committee member Sen. Ted Cruz on issues surrounding China actions before and after the COVID-19 outbreak .
"Sen. Ted Cruz , R - Texas , announced Friday that he intends to introduce legislation that would prevent outlets -- like China 's Phoenix TV -- from using Canadian or Mexican stations to spread foreign propaganda across U.S. airwaves .",Cruz announced Friday that Cruz intends to introduce legislation that would prevent outlets -- like China 's Phoenix TV -- from using Canadian or Mexican stations to spread foreign propaganda across U.S. airwaves  China  Phoenix TV -- from The move Canadian or Mexican stations to spread foreign propaganda across U.S. airwaves .
"The move comes as the U.S. has criticized the Chinese government for its role in spreading disinformation about the coronavirus , which is thought to have originated in a lab in Wuhan .","The move comes as America has criticized China for China role in spreading disinformation about the coronavirus , which is thought to have originated in a lab in Wuhan ."
"Cruz 's office specifically mentioned Phoenix TV , which is reportedly using a Mexican broadcast tower to transmit Chinese propaganda into the U.S.","Cruz office specifically mentioned Phoenix TV , which is reportedly using a Mexican broadcast tower to transmit Chinese propaganda into America"
"According to a press release , this particular legislation would amend communications law in a way that would preclude the Federal Communications Commission ( FCC ) from granting licenses to "" broadcast applicants who intend to change the language of the station they are purchasing , unless the FCC can certify that the programming of the station will never be influenced by a foreign government or governing party . ""","According to the press release , legislation that would prevent outlets -- like China 's Phoenix TV -- from using Canadian or Mexican stations to spread foreign propaganda across U.S. airwaves would amend communications law in a way that would preclude FCC from granting licenses to "" broadcast applicants who intend to change the language of the station , unless FCC can certify that the programming of the station will never be influenced by a foreign government or governing party . """
""" China should not be able to set up shop in Mexico and blanket America with propaganda , "" Cruz said in the press release .",""" China should not be able to set up shop in Mexico and blanket America with propaganda , "" Cruz said in the press release ."
CNN 'S HARWOOD CALLS TRUMP ' AUTHORITARIAN ' FOR QUESTIONING MEDIA OUTLET TIED TO CHINA 'S GOVERNMENT,CNN 'S HARWOOD CALLS TRUMP ' AUTHORITARIAN ' FOR QUESTIONING MEDIA OUTLET TIED TO CHINA 'S GOVERNMENT
""" Every year , the CCP [ Chinese Communist Party ] spends billions of dollars purchasing news outlets and waging information warfare to extend the reach of its propaganda and whitewash the unflattering and politically inconvenient truths about its totalitarian regime . """,""" Every year , the Chinese Communist Party [ CCP ] spends billions of dollars purchasing news outlets and waging information warfare to extend the reach of the Chinese Communist Party [ CCP ] propaganda and whitewash the unflattering and politically inconvenient truths about the Chinese Communist Party [ CCP ] totalitarian regime . """
"He added : "" We are seeing this play out right now as news outlets across the country parrot Chinese talking points about the coronavirus pandemic -- a pandemic that could have prevented .","Cruz added : "" We are seeing this play out right now as news outlets across China parrot Chinese talking points about the coronavirus pandemic -- a pandemic that could have prevented ."
"I look forward to introducing this legislation when Congress returns and closing FCC loopholes that allow China to wage their information warfare from across the border in Mexico . ""","Cruz look forward to introducing legislation that would prevent outlets -- like China 's Phoenix TV -- from using Canadian or Mexican stations to spread foreign propaganda across U.S. airwaves when Congress returns and closing FCC loopholes that allow China to wage China information warfare from across the border in Mexico . """
Phoenix TV previously caught attention when Trump questioned one of its reporters at a press briefing earlier in April on the coronavirus .,"Phoenix TV previously caught attention when Cruz questioned The reporter  Phoenix TV reporters at a press briefing earlier in April on the coronavirus , which is thought to have originated in a lab in Wuhan ."
""" Sounds like a statement more than a question , "" Trump said at the time .",""" Sounds like a statement more than a question , "" Cruz said at the time ."
The reporter went on to cite a Chinese ambassador 's op - ed calling for cooperation with the United States .,The reporter went on to cite a Chinese ambassador 's op - ed calling for cooperation with America .
""" Are you personally working directly with China ? """,""" Are you personally working directly with China ? """
she asked .,The reporter asked .
TED CRUZ PRAISES BILL MAHER FOR ' RANT ' ABOUT CORONAVIRUS ORIGINATING IN CHINA,TED CRUZ PRAISES BILL MAHER FOR ' RANT ' ABOUT CORONAVIRUS ORIGINATING IN CHINA
"After Trump cited his trade agreement with China , the reporter again asked whether he was cooperating with China .","After Cruz cited Cruz trade agreement with China , The reporter again asked whether Cruz was cooperating with China ."
""" Who are you working for ?",""" Who are you working for ?"
China ?,China
""" Trump responded .",""" Cruz responded ."
