raw,replaced
Alligators killed at Joe Exotic's zoo reportedly belonged to Michael Jackson .,Alligators killed at Joe Exotic's zoo reportedly belonged to Jackson .
2020-04-01 15:32:08 +00:00 .,2020-04-01 15:32:08 +00:00 .
Fox News Flash top entertainment and celebrity headlines are here .,Fox News Flash top entertainment and celebrity headlines are here .
Check out what 's clicking today in entertainment .,Check out what 's clicking today in entertainment .
Get all the latest news on coronavirus and more delivered daily to your inbox .,Get all the latest news on coronavirus and more delivered daily to your inbox .
Sign up here .,Sign up here .
"The popularity of the hit Netflix documentary series “ Tiger King : Murder , Mayhem and Madness ” has shed new light on its subject , Joseph Maldonado - Passage ( better known as Joe Exotic ) and his reported connection to late singer Michael Jackson .","The popularity of The documentary has shed new light on The documentary subject , Joseph Maldonado - Passage ( better known as Joe ) and his reported connection to Jackson ."
"Those who have seen the seven - part series know that in 2015 a fire at Joe Exotic ’s Oklahoma zoo took out not only his recording studio but a nearby facility that housed multiple alligators , all of which died in the blaze .","Those who have seen The documentary know that in 2015 The fire  Joe Exotic's zoo took out not only Jackson  my recording studio but a nearby facility that housed multiple alligators , all of which died in the blaze  multiple alligators , all of which died in the blaze  The fire ."
"The fire was suspected to be an arson , but no one was charged .","The fire was suspected to be an arson , but no one was charged ."
What the documentary does n’t cover is the fact that the animals that died are believed to have been previously owned by Jackson on his Neverland Ranch .,What The documentary does n’t cover is the fact that the animals that died are believed to have been previously owned by Jackson on Jackson  Neverland .
CORONAVIRUS PREVENTION TIPS : HOW TO STOP TOUCHING YOUR FACE Animals that died in an alleged arson at Joe Exotic 's zoo in 2015 reportedly belonged to Michael Jackson .,CORONAVIRUS PREVENTION TIPS : HOW TO STOP TOUCHING YOUR FACE Animals that died in an alleged arson at Joe  Joe Exotic 's zoo in 2015 reportedly belonged to Jackson .
"“ As most of you know , an arsonist hit our facility a day before yesterday in the sometime wee hours and set fire to not only my recording studio but the studio that houses our alligators , which caused them all to burn up and perish , boiling alive in a towering inferno of nothing but flames and fire , ” Joe said in a JoeExoticTV YouTube video , published on March 28 , 2015 .","“ As most of you know , an arsonist hit a nearby facility that housed multiple alligators , all of which died in the blaze  our facility a day before yesterday in the sometime wee hours and set fire to not only my recording studio but the recording studio  our  multiple alligators , all of which died in the blaze , which caused multiple alligators , all of which died in the blaze to burn up and perish , boiling alive in a towering inferno of nothing but flames and fire , ” Joe said in a JoeExoticTV YouTube video , published on March 28 , 2015 ."
"At the time of the fire , Joe told the Los Angeles Times that seven of the alligators and a crocodile that died in the fire were taken from Neverland following its closure .","At the time of The fire , Joe told the Los Angeles Times that seven of multiple alligators , all of which died in the blaze and a crocodile that died in The fire were taken from Neverland following The fire closure ."
New York Magazine reported in September 2019 that baby alligators were killed in the fire that were the offspring of an alligator that lived with Jackson at Neverland .,New York Magazine reported in September 2019 that baby alligators were killed in The fire  Jackson at Neverland .
WHY DO SOME COUNTRIES STILL HAVE NEXT TO NO RECORDED OUTBREAKS OF CORONAVIRUS ?,WHY DO SOME COUNTRIES STILL HAVE NEXT TO NO RECORDED OUTBREAKS OF CORONAVIRUS ?
Representatives for Jackson ’s estate did not immediately respond to Fox News ’ request for comment .,Representatives for Jackson ’s estate did not immediately respond to Fox News ’ request for comment .
Joe Exotic is currently serving time in connection with a murder - for - hire plot .,Joe is currently serving time in connection with a murder - for - hire plot .
"( Santa Rosa County Jail via AP , File )","( Santa Rosa County Jail via AP , File )"
"The documentary sees those involved with Joe ’s story posit several theories as to who started the fire , with some even believing that Joe started it himself in an effort to destroy potentially damaging footage that was being housed in the recording studio for a potential reality show that was being filmed .","The documentary sees those involved with Joe ’s story posit several theories as to who started The fire , with some even believing that Joe started The fire  Joe in an effort to destroy potentially damaging footage that was being housed in the recording studio for a potential reality show that was being filmed ."
Joe has denied those rumors .,Joe has denied those rumors .
CLICK HERE TO GET THE FOX NEWS APP,CLICK HERE TO GET THE FOX NEWS APP
"Joe is currently behind bars after being found guilty of hatching a murder - for - hire plot in which he paid $ 3,000 for one of the employees at the zoo to travel to Florida to kill his rival , Big Cat Rescue CEO Carole Baskin .","Joe is currently behind bars after being found guilty of hatching a murder - for - hire plot in which Joe paid $ 3,000 for one of the employees at Joe Exotic 's zoo to travel to Florida to kill Joe rival , Big Cat Rescue CEO Carole Baskin ."
