raw,replaced
"Taliban, Afghan government held Skype call on prisoner releases, officials say .","Taliban held Skype call on prisoner releases, officials say ."
2020-03-23 01:10:58 +00:00 .,2020-03-23 01:10:58 +00:00 .
Fox News senior foreign affairs correspondent Greg Palkot interviews Afghan president Ashraf Ghani .,Fox News senior foreign affairs correspondent Greg Palkot interviews Ghani .
"Amid a recent warming of relations , the Taliban and the Afghan government held a “ virtual ” meeting to discuss prisoner releases on Sunday , according to officials .","Amid a recent warming of relations , Taliban  All sides  Taliban held the meeting on Twitter , according to officials ."
The two sides spoke for two hours in a Skype meeting facilitated by the U.S. and Qatar .,All sides spoke for two hours in a Skype meeting facilitated by the U.S. and Qatar .
"Under a Taliban peace agreement signed by the U.S. last month , the Afghan government was to release 5,000 prisoners before intra - Afghan talks began .","Under a Taliban peace agreement signed by the U.S. last month  Taliban peace agreement signed by the U.S. last month , Taliban was to release 5,000 prisoners before intra - Afghan talks began ."
"In exchange , the Taliban would release 1,000 Afghani prisoners .","In exchange , Taliban would release 1,000 Afghani prisoners ."
"But , one day after the peace deal was signed , Afghan President Ashraf Ghani rejected the notion of releasing Afghan prisoners as a precondition for peace negotiations .","But , one day after a Taliban peace agreement signed by the U.S. last month was signed , Ghani rejected the notion of releasing Afghan prisoners as a precondition for peace negotiations ."
The impasse threatened the historic peace agreement which included the withdrawal of the bulk of foreign forces from Afghanistan after 18 years of fighting .,The impasse threatened the historic peace agreement which included the withdrawal of the bulk of foreign forces from Afghanistan after 18 years of fighting .
AFGHAN GOVERNMENT,AFGHAN GOVERNMENT
"TO RELEASE 1,500 TALIBAN PRISONERS , MAJOR STEP IN PEACE NEGOTIATIONS On March 10 , Ghani agreed to release 1,500 prisoners as a precondition to talks with the Taliban -- and an additional 500 prisoners every two weeks after talks began until the number reached 5,000 .","TO RELEASE 1,500 TALIBAN PRISONERS , MAJOR STEP IN PEACE NEGOTIATIONS On March 10 , Ghani agreed to release 1,500 prisoners as a precondition to talks with Taliban -- and an additional 500 prisoners every two weeks after talks began until the number reached 5,000 ."
"It was unclear whether the Taliban would accept the deal , as they previously had refused to speak to the Afghan government until all prisoners were released .","It was unclear whether Taliban would accept a Taliban peace agreement signed by the U.S. last month , as Taliban previously had refused to speak to Taliban until all prisoners were released ."
""" Everyone knows clearly that the threat of Coronavirus makes the release of prisoners urgent , "" U.S. Special Representative for Afghanistan Reconciliation Zalmay Khalilzad tweeted .",""" Everyone knows clearly that the threat of Coronavirus makes the release of prisoners urgent , "" Khalilzad  Afghanistan Reconciliation Zalmay Khalilzad tweeted ."
"“ All sides reaffirmed their firm commitment to reducing violence , inter - Al - Afghani negotiations , and a comprehensive and permanent ceasefire .","“ All sides reaffirmed All sides firm commitment to reducing violence , inter - Al - Afghani negotiations , and a comprehensive and permanent ceasefire ."
"We also agreed on the next technical meeting in the next couple of days , ” Khalilzad added .","We also agreed on the next technical meeting in the next couple of days , ” Khalilzad added ."
"“ Everyone clearly understands the coronavirus threat makes prisoner releases that much more urgent , ” he said .","“ Everyone clearly understands the threat of Coronavirus makes prisoner releases that much more urgent , ” Khalilzad said ."
"“ All sides conveyed their strong commitment to a reduction of violence , intra - Afghan negotiations , and a comprehensive and permanent ceasefire . ”","“ All sides conveyed All sides strong commitment to a reduction of violence , intra - Afghan negotiations , and a comprehensive and permanent ceasefire . ”"
CLICK HERE TO GET THE FOX NEWS APP,CLICK HERE TO GET THE FOX NEWS APP
The Taliban ’s Doha office spokesman Suhail Shaheen confirmed the meeting on Twitter but stressed it was only about the release of prisoners .,The Taliban ’s Doha office spokesman Suhail Shaheen confirmed the meeting on Twitter  the meeting on Twitter on Twitter but stressed the meeting on Twitter was only about the release of prisoners .
"The Afghan government and the Taliban have sparred often over the past few days , including a storming of the Afghan military base on Friday , which investigators blamed on the insurgent group .","Taliban  All sides  Taliban have sparred often over the past few days , including a storming of the Afghan military base on Friday , which investigators blamed on the insurgent group ."
