raw,replaced
Disneyland to close due to coronavirus .,Disneyland to close due to coronavirus .
2020-03-12 21:09:23 +00:00 .,2020-03-12 21:09:23 +00:00 .
Viking Cruises is now the second cruise line to suspended all sailings in response to the ongoing coronavirus pandemic .,Viking Cruises is now the second cruise line to suspended all sailings in response to the coronavirus outbreak .
"Disneyland in Anaheim , Calif. , will close its doors Saturday in response to the coronavirus outbreak .",Disneyland will close Disneyland doors Saturday in response to the coronavirus outbreak .
"The company announced the temporary closure on its Twitter account , where it confirmed that the parks will close starting March 14 .","Disneyland announced The closure on Disneyland Twitter account , where Disneyland confirmed that the hotels at the Disneyland Resort will close starting March 14 ."
The closure will last until at least the end of March .,The closure will last until at least the end of March .
"On the Disney Parks News Twitter page and its website , the company wrote : “ While there have been no reported cases of COVID-19 at Disneyland Resort , after carefully reviewing guidelines of the Governor of California ’s executive order and in the best interest of our guests and employees , we are proceeding with the closure of Disneyland Park and Disney California Adventure , beginning the morning of March 14 through the end of the month . ”","On the Disney Parks News Twitter page and the Disney Parks News Twitter page website , the Disney Parks News Twitter page wrote : “ While there have been no reported cases of COVID-19 at Disneyland , after carefully reviewing guidelines of the Governor of California ’s executive order and in the best interest of our guests and employees , the Disney Parks News Twitter page are proceeding with the closure of Disneyland and Disney California Adventure , beginning the morning of March 14 through the end of the month . ”"
"CUOMO BANS GATHERINGS OF MORE THAN 500 IN NEW YORK OVER CORONAVIRUS , EFFECTIVELY CLOSES BROADWAY","CUOMO BANS GATHERINGS OF MORE THAN 500 IN NEW YORK OVER CORONAVIRUS , EFFECTIVELY CLOSES BROADWAY"
"The statement continued to explain that the hotels at the Disneyland Resort will remain open until Monday , March 16 .","The statement continued to explain that the hotels at the Disneyland Resort  Disneyland will This open until Monday , March 16 ."
This is being done to give guests time to make necessary travel arrangements .,This is being done to give guests time to make necessary travel arrangements .
Downtown Disney will remain open for the time being .,Disneyland will remain open for the time being .
CLICK HERE TO GET THE FOX NEWS APP,CLICK HERE TO GET THE FOX NEWS APP
"The statement concluded : “ Disneyland Resort will work with guests who wish to change or cancel their visits , and will provide refunds to those who have hotel bookings during this closure period .","The statement concluded : “ Disneyland will work with guests who wish to change or cancel their visits  guests who wish to change or cancel their visits visits , and will provide refunds to those who have hotel bookings during this closure period ."
We anticipate heavy call volume over the next several days and appreciate guests ’ patience as we work hard to respond to all inquiries . ”,the Disney Parks News Twitter page anticipate heavy call volume over the next several days and appreciate guests ’ patience as the Disney Parks News Twitter page work hard to respond to all inquiries . ”
The park did not share whether Disney World would also be closing at a future date .,Disneyland did not share whether Disneyland would also be closing at a future date .
FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS,FOLLOW US ON FACEBOOK FOR This news
This news comes after the California Department of Public Health and the governor said that “ large gatherings that include 250 people or more should be postponed or canceled . ”,This news comes after the California Department of Public Health and the governor said that “ large gatherings that include 250 people or more should be postponed or canceled . ”
This policy will be in effect across the state of California until at least the end of March .,FACEBOOK will be in effect across California until at least the end of March .
