raw,replaced
Space Force makes its first launch as military satellite lifts off from Cape Canaveral .,Space Force makes Space Force first launch as military satellite lifts off from Cape Canaveral .
2020-03-26 22:14:54 +00:00 .,2020-03-26 22:14:54 +00:00 .
Fox News,Fox News
Flash top headlines are here .,Flash top headlines are here .
Check out what 's clicking on Foxnews.com .,Check out what 's clicking on Foxnews.com .
The Space Force made its first launch on Thursday when the U.S. military 's Advanced Extremely High Frequency ( AEHF-6 ) satellite lifted off from Cape Canaveral Air Force Station .,Space Force made Space Force first launch on Tuesday when AEHF-6 lifted off from Cape Canaveral Air Force Station .
The satellite blasted into the Florida sky atop a United Launch Alliance ( ULA ),AEHF-6 blasted into the Florida sky atop a ULA )
Atlas V 551 rocket at 4:18 p.m. ET .,Atlas V 551 rocket at 4:18 p.m. ET .
"The launch window had opened at 2:57 p.m. ET , but the launch time was pushed back while engineers dealt with a ground hydraulics issue .","The launch window had opened at 2:57 p.m. ET , but the launch time was pushed back while engineers dealt with a ground hydraulics issue ."
AEHF-6 is the sixth and final satellite in the Space Force ’s AEHF constellation .,AEHF-6 is the sixth and final satellite in the Space Force ’s AEHF constellation .
"“ AEHF satellites provide global , survivable , protected communications capabilities for strategic command and tactical warfighters operating on ground , sea and air platforms , ” ULA explained on its website .","“ AEHF satellites provide global , survivable , protected communications capabilities for strategic command and tactical warfighters operating on ground , sea and air platforms , ” ULA explained on ULA website ."
"AMID CORONAVIRUS OUTBREAK , SPACEX LAUNCH OF ARGENTINIAN SATELLITE POSTPONED","AMID CORONAVIRUS OUTBREAK , SPACEX LAUNCH OF ARGENTINIAN SATELLITE POSTPONED"
The AEHF-6 proceeded despite the fallout from the coronavirus outbreak .,AEHF-6 proceeded despite the fallout from the coronavirus outbreak .
A SpaceX satellite launch that had been scheduled for later this month has been postponed amid the pandemic .,the launch of the second ExoMars mission has been postponed amid the pandemic .
"A United Launch Alliance Atlas V rocket lifts off from launch complex 41 at the Cape Canaveral Air Force Station with a payload of a high frequency satellite Thursday , March 26 , 2020 , in Cape Canaveral , Fla. Built by Lockheed Martin , this U.S. military spacecraft will provide highly - secure communications .","a SpaceX Falcon 9 rocket  United Launch Alliance Atlas V rocket lifts off from launch complex 41 at the Cape Canaveral Air Force Station with a payload of a high frequency satellite Tuesday , March 26 , 2020 , in Cape Canaveral , Fla. Built by Lockheed Martin , this U.S. military spacecraft will provide highly - secure communications ."
( AP Photo / John Raoux ),( AP Photo / John Raoux )
"The SAOCOM1B satellite is being launched for Argentina ’s Space Agency , the Comisión Nacional de Actividades Espaciales ( CONAE ) .","AEHF-6 is being launched for Argentina ’s Space Agency , the Comisión Nacional de Actividades Espaciales ( CONAE ) ."
The launch atop a SpaceX Falcon 9 rocket had originally been scheduled for March 30 at Cape Canaveral Air Force Station .,the launch of the second ExoMars mission  a SpaceX Falcon 9 rocket had originally been scheduled for March 30 at Cape Canaveral Air Force Station .
Argentinian officials cited travel restrictions as the reason for the delayed launch of the Earth observation satellite .,Argentinian officials cited travel restrictions as the reason for the launch of the second ExoMars mission  AEHF-6 .
CORONAVIRUS MAY DELAY NASA 'S RETURN TO THE MOON,CORONAVIRUS MAY DELAY NASA 'S RETURN TO THE MOON
The impact of the coronavirus outbreak on space exploration programs is being closely followed .,The impact of the coronavirus outbreak on space exploration programs is being closely followed .
"Earlier this month , for example , the European Space Agency and the Russian space agency Roscosmos announced that the launch of the second ExoMars mission is being postponed to 2022 , in part because of the pandemic .","Earlier this month , for example , NASA and the Russian space agency Roscosmos announced that the launch of the second ExoMars mission is being postponed to 2022 , in part because of the pandemic ."
"CAPE CANAVERAL , FLORIDA - MARCH 25 , 2020 :","CAPE CANAVERAL , FLORIDA - MARCH 25 , 2020 :"
"A United Launch Alliance Atlas V rocket with an Advanced Extremely High Frequency ( AEHF ) military communications satellite for a payload is seen the day before its scheduled March 26 , 2020 launch at Cape Canaveral Air Force Station .","A United Launch Alliance Atlas V rocket with an Advanced Extremely High Frequency ( AEHF ) military communications satellite for a payload  United Launch Alliance Atlas V rocket with an Advanced Extremely High Frequency ( AEHF ) military communications satellite for a payload is seen the day before A United Launch Alliance Atlas V rocket with an Advanced Extremely High Frequency ( AEHF ) military communications satellite for a payload scheduled March 26 , 2020 launch at Cape Canaveral Air Force Station ."
( Paul Hennessy / Echoes Wire / Barcroft Media via Getty Images ),( Paul Hennessy / Echoes Wire / Barcroft Media via Getty Images )
The European Space Agency also said Tuesday that it is putting eight of its spacecraft into hibernation as it scales down operations during the coronavirus outbreak .,NASA also said Tuesday that NASA is putting eight of NASA  this U.S. military spacecraft into hibernation as NASA scales down operations during the coronavirus outbreak .
CLICK HERE TO GET THE FOX NEWS APP,CLICK HERE TO GET THE FOX NEWS APP
"NASA has also temporarily suspended work on the $ 10 billion James Webb Space Telescope in California due to the coronavirus , putting its spring 2021 target launch date in jeopardy .","NASA has also temporarily suspended work on the $ 10 billion James Webb Space Telescope in California due to the coronavirus outbreak , putting NASA spring 2021 target launch date in jeopardy ."
Follow James Rogers on Twitter @jamesjrogers .,Follow James Rogers on Twitter @jamesjrogers .
