raw,replaced
Kansas governor’s decision to close all schools sees GOP pushback .,Kansas governor’s decision to close all schools sees GOP pushback .
2020-03-19 20:01:42 +00:00 .,2020-03-19 20:01:42 +00:00 .
The number of people testing positive for coronavirus has spiked after testing has become more readily available in the U.S. President Trump and Gov. Cuomo are just two officials considering how to address this issue .,The number of people testing positive for coronavirus has spiked after testing has become more readily available in the U.S. President Trump and Gov. Cuomo are just two officials considering how to address this issue .
"Kansas GOP lawmakers on Wednesday moved to limit their Democratic governor ’s emergency powers during the coronavirus pandemic , arguing that they are an overreaction that is fueling panic and an unnecessary intrusion into people ’s lives .","Kansas  Kansas GOP lawmakers  GOP lawmakers on Wednesday moved to The pushback  Kansas GOP lawmakers  they  Democratic governor ’s emergency powers during the coronavirus pandemic , arguing that they are an overreaction that is fueling panic and an unnecessary intrusion into people ’s lives ."
The pushback came after Gov. Laura Kelly announced Tuesday that all public schools will be closed for the remainder of the school year and classes will be held remotely to curb the spread of the coronavirus .,The pushback came after Kelly announced Tuesday that all public schools will be closed for the remainder of the school year and classes will be held remotely to curb the spread of coronavirus .
"Kansas Gov. Laura Kelly answers questions from reporters after announcing that she 'd order all public and private K-12 schools in the state to close for the rest of the semester , Tuesday , March 17 , 2020 , at the Statehouse in Topeka , Kan. ( AP )","Kelly answers questions from reporters after announcing that Kelly 'd order all public and private K-12 schools in Kansas to close for the rest of the semester , Tuesday , March 17 , 2020 , at the Statehouse in Topeka , Kan. ( AP )"
Conservative critics have suggested that Kelly 's actions suggest she might go after firearms and try to limit their sale .,Conservative critics have suggested that Kelly actions suggest Kelly might go after firearms and try to limit firearms sale .
"Kelly declared a state of emergency last week to mobilize state resources , but it will expire March 27 unless legislators pass a resolution extending it .","Kelly declared a state of emergency  last week to mobilize state resources , but a state of emergency will expire March 27 unless legislators pass the resolution  a state of emergency ."
Lawmakers are now set to have the GOP - controlled legislature 's leaders scrutinize all of Kelly 's future coronavirus orders and to give them the power to revoke many of them within days .,Lawmakers are now set to have the GOP - controlled legislature 's leaders scrutinize all of Kelly 's future coronavirus orders and to give the GOP - controlled legislature 's leaders the power to revoke many of all of Kelly 's future coronavirus orders within days .
""" There is a concern about civil liberties , a concern about the proper exercise of government authority and not wanting it to be too extreme , ” House Speaker Pro Tem .",""" There is a concern about civil liberties , a concern about the proper exercise of government authority and not wanting government authority to be too extreme , ” House Speaker Pro Tem ."
"Blaine Finch , who helped draft the final version , told fellow Republicans .","Blaine Finch , who helped draft the final version , told fellow Republicans ."
The House approved a version of the resolution last week as a straightforward extension of Kelly 's state of emergency into January 2021 .,The House approved a version of the resolution  the resolution  last week as a straightforward extension of Kelly  The state of emergency into January 2021 .
"CURFEWS , CLOSURES AND MORE : WHAT THE GOVERNMENT CAN AND CAN'T DO IN A HEALTH EMERGENCY","CURFEWS , CLOSURES AND MORE : WHAT THE GOVERNMENT CAN AND CAN'T DO IN A HEALTH EMERGENCY"
"The Senate on Wednesday passed its version limiting Kelly 's power , 37 - 2 .","Senate on Wednesday passed Senate  a version of the resolution  Kelly power , 37 - 2 ."
"The two chambers then negotiated a compromise Wednesday night , with final votes in both chambers expected later Thursday .","The two chambers then negotiated a compromise Wednesday night , with final votes in The two chambers expected later Thursday ."
"The state of emergency would last until May 1 , but legislative leaders could approve further extensions every 30 days .","The state of emergency would last until May 1 , but legislative leaders could approve further extensions every 30 days ."
The Senate - approved language from conservatives to strip Kelly of power governors have had in other emergencies .,the Senate 's language  Senate - approved language from conservatives to strip Kelly of power governors have had in other emergencies .
Among those powers is the authority to say who goes into or out of a disaster area and to restrict movement within an area .,Among those powers is the authority to say who goes into or out of a disaster area and to restrict movement within an area .
"She also would lose the governor 's broad power to act to "" promote and secure the safety and protection of the civilian population . ""","Kelly also would lose Democratic governor broad power to act to "" promote and secure the safety and protection of the civilian population . """
"CLICK HERE TO GET THE FOX NEWS APP Conservatives argued that Kelly 's bold moves , and similar actions in other states , are unnecessarily torpedoing the economy and isolating people .","CLICK HERE TO GET THE FOX NEWS APP Conservatives argued that Kelly bold moves , and similar actions in other states , are unnecessarily torpedoing the economy and isolating people ."
Democrats warned that the Senate 's language could limit Kelly 's ability to set up quarantine zones around communities in crisis .,Democrats warned that Senate  the Senate 's language could limit Kelly ability to set up quarantine zones around communities in crisis .
Kansas has had more than 20 confirmed coronavirus cases and one COVID-19 - related death .,Kansas has had more than 20 confirmed coronavirus cases and one COVID-19 - related death .
The Associated Press contributed to this report .,The Associated Press contributed to this report .
