raw,replaced
Covid-19: Amul faces glitches in inter-state transport with 21-day lockdown .,Covid-19: Amul faces glitches in inter-state transport with 21-day lockdown .
2020-03-25 06:01:51 +00:00 .,2020-03-25 06:01:51 +00:00 .
"Even as the country goes into a 21 - day lockdown starting Wednesday to contain the ( Covid-19 ) spread , Gujarat Co - operative Milk Marketing Federation ( GCMMF ) , popularly known as Amul , is facing glitches in areas like inter - state transport and supply of packaging material .","Even as the country goes into a 21 - day lockdown starting Wednesday to contain the ( Covid-19 ) spread , GCMMF , is facing glitches in areas like inter - state transport and supply of packaging material ."
"While so far it has not seen any major impact on milk supplies , the leading dairy co - operative is working with respective state and central government authorities to sort out the issues before it begins to impact supply .","While so far GCMMF has not seen any major impact on milk supplies , GCMMF is working with respective state and central government authorities to sort out the issues before GCMMF begins to impact supply ."
"Currently , procures 26 million litres of liquid milk a day of which 21 million litres is from Gujarat and rest from other states such as Maharashtra , Rajasthan , Uttar Pradesh and Madhya Pradesh .","Currently , procures 26 million litres of liquid milk a day of which 21 million litres is from Gujarat and rest from other states such as Maharashtra , Rajasthan , Uttar Pradesh and Madhya Pradesh ."
"While the dairy co - operative has been able to keep up with its average daily liquid milk sales of 15 million litres of which 6.5 million litres are sold in Gujarat and rest in other states , might face issues in supplementary services , GCMMF managing director R S Sodhi told Business Standard .","While GCMMF has been able to keep up with GCMMF average daily liquid milk sales of 15 million litres of which 6.5 million litres are sold in Gujarat and rest in other states , might face issues in supplementary services , GCMMF  Sodhi told Business Standard ."
""" We are ensuring that milk procurement from farmers continues with safety measures being taken .",""" Business Standard are ensuring that milk procurement from farmers continues with safety measures being taken ."
"However , we are facing some problem in workers being able to reach our factories due to lockdown .","However , Business Standard are facing some problem in workers being able to this  Business Standard factories due to lockdown ."
"But this should be gradually sorted out as we have all the permissions in place and are in touch with the relevant authorities , "" said Sodhi .","But this should be gradually sorted out as Business Standard have all the permissions in place and are in touch with the relevant authorities , "" said Sodhi ."
"In inter - state transport , the dairy cooperative is facing delay in empty trucks coming back from other states to Gujarat after delivering milk .","In inter - state transport , GCMMF is facing delay in empty trucks coming back from other states to Gujarat after delivering milk ."
"While trucks full with milk and milk products are being allowed to pass inter - state borders , returning empty trucks are facing delayed re - entry due to lockdown .","While trucks full with milk and milk products are being allowed to pass inter - state borders , returning empty trucks are facing delayed re - entry due to lockdown ."
"Along with other states , Gujarat had also begun sealing its borders by March 22 .","Along with other states , Gujarat had also begun sealing Gujarat  inter - state borders by March 22 ."
""" We saw that trucks that go full are allowed at state borders but empty trucks coming back face problem at entry , "" Sodhi added .",""" Business Standard saw that trucks that go full are allowed at state borders but empty trucks coming back face problem at entry , "" Sodhi added ."
"In terms of transport , is also facing issues in supply of ingredients for cattle feed .","In terms of transport , is also facing issues in supply of These ingredients ."
"While some of the ingredients are available within Gujarat , Amul 's cattle feed plants source raw materials like rice bran , corn , millet , and molasses from other states like Punjab , Haryana and Rajasthan .","While some of These ingredients are available within Gujarat , Amul cattle feed plants source raw materials like rice bran , corn , millet , and molasses from other states like Punjab , Haryana and Rajasthan ."
""" These ingredients are crucial so that we can supply cattle feed to farmers so that milk procurement is not hampered , "" he said .",""" These ingredients are crucial so that we can supply cattle feed to farmers so that milk procurement is not hampered , "" Sodhi said ."
Another issue that could hamper Amul 's supplies is packaging material .,Another issue that could hamper Amul  Amul 's supplies is packaging material .
""" No factory gives more than a fortnight of packaging material .",""" No factory gives more than a fortnight of packaging material ."
"They should also be allowed to operate and there workers should be provided free movement so that milk and food items ' packaging supplies do not take a hit . ""","These ingredients should also be allowed to operate and there workers should be provided free movement so that milk and food items ' packaging supplies do not take a hit . """
"According to Sodhi , while so far these issues have not had any major impact on its supplies , GCMMF has made representations to relevant authorities to ensure smooth supplies of milk and milk products .","According to Sodhi , while so far these issues have not had any major impact on Amul  Amul 's supplies , GCMMF has made representations to relevant authorities to ensure smooth supplies of milk and milk products ."
"Meanwhile , in a video message being circulated on social media , Sodhi is also urging consumers to not resort to panic buying amidst the 21 days lockdown .","Meanwhile , in a video message being circulated on social media , Sodhi is also urging consumers to not resort to panic buying amidst 21-day lockdown ."
""" I want to reassure our Amul consumers that I have read the Ministry of Home Affairs ' notification in detail in which milk and other food items and grocery stores are allowed to remain open .",""" Sodhi want to reassure all the consumers  Amul consumers that Sodhi have read the Ministry of Home Affairs ' notification in detail in which milk and other food items and grocery stores are allowed to remain open ."
And in Gujarat we see roughly 30 million litres per day of milk production which if you divide by a population of 60 million in the state then 500 ml per person milk is available .,And in Gujarat we see roughly 30 million litres per day of milk production which if you divide by a population of 60 million in Gujarat then 500 ml per person milk is available .
So there is going to be no shortage of milk .,So there is going to be no shortage of milk .
Milk parlours will remain open .,Milk parlours will remain open .
"So I request all the consumers to not get into panic buying and buy only as much is required each day , "" Sodhi urged consumers .","So Sodhi request all the consumers to not get into panic buying and buy only as much is required each day , "" Sodhi urged consumers ."
