raw,replaced
Stacey Abrams trends after Georgia Gov. Kemp said he didn't know about asymptomatic spread .,Abrams trends after Kemp said Kemp didn't know about asymptomatic spread .
2020-04-03 15:08:27 +00:00 .,2020-04-03 15:08:27 +00:00 .
Get breaking news alerts and special reports .,Get breaking news alerts and special reports .
"The news and stories that matter , delivered weekday mornings .","The news and stories that matter , delivered weekday mornings ."
Stacey Abrams began trending on U.S. Twitter on Thursday after Georgia Gov. Brian Kemp admitted having recently learned that asymptomatic individuals can spread the coronavirus — despite warnings from health experts as early as January .,Abrams began trending on Twitter on Thursday after Kemp  Georgia Gov. Brian Kemp Kemp 's admission having recently learned that asymptomatic individuals can spread This virus — despite warnings from health experts as early as January .
"Kemp , a Republican , said in a news conference Wednesday that the information led to his statewide shelter - in - place order in Georgia .","Kemp  Kemp , said in a news conference Wednesday that the information led to Kemp statewide shelter - in - place order in Georgia ."
""" This virus is now transmitting before people see signs , "" Kemp said .",""" This virus is now that before people see signs , "" Kemp said ."
""" We did n't know that until the last 24 hours . """,""" us did n't know that until the last 24 hours . """
""" This is a game changer for us . """,""" This is a game changer for us . """
"The Centers for Disease Control and Prevention , based in Atlanta , warned as early as Feb. 12 that the coronavirus could be spread by asymptomatic people .","The Centers for Disease Control and Prevention , based in Atlanta , warned as early as Feb. 12 that This virus could be spread by asymptomatic people ."
"In January , the director of the National Institute for Allergy and Infectious Diseases , Dr. Anthony Fauci , said there was "" no doubt "" that "" asymptomatic transmission is occurring . ""","In January , the director of the National Institute for Allergy and Infectious Diseases , Dr. Anthony Fauci , said there was "" no doubt "" that "" asymptomatic transmission is occurring . """
"There were 5,444 confirmed cases and 176 deaths related to the coronavirus as of Thursday night , according to the Georgia Department of Public Health .","There were 5,444 confirmed cases and 176 deaths related to This virus as of Thursday night , according to the Georgia Department of Public Health ."
"Kemp 's admission garnered public outcry on Twitter , with many saying Abrams would have responded in a timely manner to mitigate the spread of COVID-19 in Georgia .","Kemp  Kemp 's admission garnered public outcry on Twitter , with many saying Abrams would have responded in a timely manner to mitigate the spread of COVID-19 in Georgia ."
"Abrams , the Democratic nominee in the 2018 gubernatorial election , trailed Kemp by less than 2 percentage points in the popular vote .",Abrams trailed Kemp by less than 2 percentage points in the popular vote .
"She refused to concede defeat , saying Kemp , the secretary of state at the time , had mismanaged the election system through voter suppression , but she acknowledged that she could not win the race .","Abrams refused to concede defeat , saying Kemp had mismanaged the election system through voter suppression , but Abrams acknowledged that Abrams could not win the race ."
Abrams was the first African American woman nominated for governor by a major party in the U.S.,Abrams was the first African American woman nominated for governor by a major party in the U.S.
"She later became the first African American woman to deliver a response to the president 's State of the Union address , in February 2019 .","Abrams later became the first African American woman to deliver a response to the president 's State of the Union address , in February 2019 ."
"Abrams ' name has been floated as a potential vice presidential pick for the front - runner for the Democratic presidential nomination , Joe Biden .",Abrams name has been floated as a potential vice presidential pick for Biden 's .
"In an MSNBC interview Wednesday , Abrams told Craig Melvin that she "" would be happy to serve "" as Biden 's running mate .","In an MSNBC interview Wednesday , Abrams told Craig Melvin that Abrams "" would be happy to serve "" as Biden 's running mate ."
